ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03026.png,-2.2252557,-0.36604282,-1.7071642,0.06856837,-0.53150725,-2.4656856,-0.5889064,-2.4891093,5.2510037,0.48103338,3.2176328,-0.28363398
03027.png,-3.0240734,-0.28760207,0.28680348,10.707482,-3.698514,0.16258809,-4.871924,-0.5664037,1.4913467,-0.009793896,-3.0260482,-0.4134649
03028.png,0.9628329,-3.071919,-1.662231,1.4862249,-2.0766745,1.564357,-2.928771,-1.143895,1.1368568,4.7309804,-0.08469863,0.3552521
03029.png,-2.8207514,5.16034,-0.5531283,0.53058374,-0.20754157,-1.4673887,-2.4912412,-2.2103972,4.8285346,0.5393635,0.22480498,-1.0643605
03030.png,0.01660991,-2.5460718,-0.8748519,-1.8807704,-0.015142286,-1.5889087,7.6071396,-0.076337785,1.4974717,-1.521342,-0.07375957,-1.3314732
03031.png,-3.4489167,0.18030338,-1.4598292,7.7819233,-2.7752461,0.70115316,-5.1939287,-1.2781471,1.546988,0.74946207,-2.4807258,3.0145533
03032.png,-1.3550311,-0.92049253,7.4796467,0.48436415,-1.8952347,-1.0081016,-2.3569756,-0.925026,-0.76627517,0.22199887,-0.9832699,-1.5526764
03033.png,-1.9280102,-0.631224,-0.6653359,7.3034797,-3.8308058,5.707754,-4.78231,-0.3379572,-0.44036344,-1.1314188,-3.3930004,0.750629
03034.png,-0.92551565,-1.9111817,-1.4838419,-0.97311234,-0.8013311,-0.0992975,-2.0614479,-2.753952,1.3178651,9.988558,0.36726016,0.27890107
03035.png,-3.8114316,-0.24065499,-0.8693666,8.690812,-2.4209738,-0.42443702,-4.5166597,-1.311407,4.310932,-0.105378464,-2.858604,0.47395173
03036.png,-4.220765,1.4165877,-1.9644305,6.7295623,-1.3599044,-1.1402097,-4.372143,-1.966626,6.840346,-0.53104705,-2.3836405,0.51924556
03037.png,-3.6458876,-0.21747063,-0.9511265,5.1463776,-0.37006047,-2.0465617,-3.4833515,-1.5957384,4.7155776,1.1543968,-0.33853748,0.3630024
03038.png,-2.3424034,-1.175809,-2.189822,6.3334517,-2.0575025,0.13597575,-4.001564,-0.5443948,0.4228377,0.6455778,-2.2727215,4.797804
03039.png,3.7500114,-3.7495224,-2.2267263,-2.0381203,-1.2180761,1.2539479,-1.186109,-1.7794242,0.49884737,2.8793175,2.0859911,-0.056701582
03040.png,-3.1634448,1.5370753,-2.8218105,2.4715521,-0.3169629,-2.6076372,-3.7490954,-2.5329201,5.891801,4.2598896,0.24443413,0.61784714
03041.png,-2.4436646,-0.19901444,0.764708,9.758032,-3.4026716,0.43156254,-5.96942,-0.9850722,0.8768431,1.4373659,-1.1942964,-0.5235104
03042.png,-0.47146007,-2.0178144,-0.9238347,9.479782,-3.6169806,0.9130769,-3.7266216,0.17174299,0.9845743,-0.5617657,-1.6143962,-0.59154296
03043.png,-0.90387195,-1.8244653,-1.3537465,-1.5078305,-0.4888465,-0.11130317,-1.8943226,-2.6093788,0.8919672,9.619049,0.5332651,-0.21708418
03044.png,-2.82615,-1.1964911,-2.0399704,1.7869211,-1.1241356,-1.8837985,-3.9540656,-2.6454532,4.1426935,8.376633,0.5451457,1.0038114
03045.png,-0.5820073,-1.4388871,-0.4346916,10.26041,-2.997851,-0.30436978,-3.4227054,0.20958903,0.48809952,0.015416477,-1.5817688,-1.4040428
03046.png,-2.7060163,-1.7141753,-2.2988935,0.2284087,-0.58493555,-0.001566466,-2.0790818,-1.795711,2.035297,1.2286482,-1.1798569,7.136205
03047.png,0.17382397,-1.692372,-1.9059262,-0.1099683,-2.0600567,9.026613,-1.5936434,-1.571857,0.7258257,-2.2580729,-1.935361,-0.2085663
03048.png,-2.1099422,-0.44059086,-3.143076,4.2385554,-1.2137679,-0.70322514,-3.819636,-2.1208565,5.748629,0.06310588,0.9209637,0.40986502
03049.png,-0.9686833,-1.1459646,-0.65296096,-1.3410844,-0.55601156,-0.026838966,-1.4725832,-2.804203,2.103124,6.1469083,1.1849756,-0.18529047
03050.png,-0.3406879,-2.4817824,-1.3070511,-2.9053683,0.11949082,-0.66107726,10.864836,-0.57349366,0.42501223,-1.6287657,-1.361085,-0.8360711
03051.png,-0.42444605,-1.2733757,6.1085777,1.012686,-1.0932294,-0.9826241,-2.585597,-0.60400444,-0.027274733,-0.98841584,0.032616504,-2.1307082
03052.png,-3.2027621,-1.7935524,-2.22257,-0.39931473,1.1381378,-2.987848,-1.4041812,-3.1891994,5.259446,4.359425,1.1476557,1.8338449
03053.png,-0.9643148,-1.813139,0.36679095,10.274166,-3.8310807,1.125082,-4.1601505,0.046472147,0.6102766,-0.18836987,-2.2357445,-0.71238226
03054.png,-1.1789978,-2.1778636,-3.403563,0.6100105,1.0411088,-2.4670281,-2.5014892,-2.827044,4.77989,4.823565,3.00376,-1.0209832
03055.png,-2.904722,-1.4367157,-1.7991527,2.1623383,-1.3141555,1.0289295,-2.7805831,-1.497268,-0.5441662,1.2447274,-1.8870482,8.626908
03056.png,-3.0244892,-1.3960041,4.9548526,1.6460638,-1.535855,-1.7817863,-4.327633,-1.6305646,1.4448514,1.3302382,-0.27706185,1.3003526
03057.png,8.023398,-2.6701515,-1.2416129,0.31642383,-1.4476796,0.3168721,-1.4346733,0.5564679,0.6316926,-1.1978841,-0.32911697,-1.4212813
03058.png,9.447078,-2.5095057,-0.9698027,0.023371598,-2.177266,-0.015846305,-1.9924963,1.5037068,0.09172964,-0.91065586,-0.6724197,-1.5965707
03059.png,-3.5248058,0.8027442,0.40167058,10.62595,-3.9101999,1.2352644,-5.2141137,-1.0631198,1.3578249,-0.13332957,-3.4497602,0.32401714
03060.png,-2.4287796,-0.6777565,-0.80824816,9.737149,-3.0842433,-1.3817042,-4.1757045,-1.0222604,2.65993,1.4236879,-2.061844,-0.54183924
03061.png,0.16670145,-2.724261,-1.0845456,-1.6820724,-0.20828606,-1.3821298,10.096361,-0.3603904,0.6151576,-1.6157222,-1.4659113,-1.0707626
03062.png,0.4908051,-1.705249,-1.7682644,0.46878028,-2.1508682,9.803522,-1.5372977,-0.711381,-0.47291437,-2.7390857,-1.886201,-0.13373514
03063.png,-1.5325096,-2.1763053,-1.4349265,-1.5231357,3.5935323,-0.78887427,1.0863178,-0.8211972,1.1622822,-0.33788717,1.9607867,-1.4211769
03064.png,0.16995391,-1.8011563,-0.22839235,7.2394447,-2.7782261,-1.1052836,-4.4522867,2.512424,-0.41991642,-0.107926816,-2.0456614,-1.0840179
03065.png,-1.213966,-2.1003227,8.768827,2.1073022,-1.6870422,-2.1835694,-3.7702377,-0.28426677,-0.5008821,-0.38958168,-1.1406265,-2.6747072
03066.png,-3.4976375,2.7896457,-1.9179221,4.248439,-0.50488335,-1.1854879,-4.3711267,-2.3404565,6.1930084,-0.38910854,-1.5349685,0.9292962
03067.png,-1.1942984,-0.2971632,-1.3928037,1.452639,-0.6257611,2.1035986,-1.6239059,-1.9429431,6.2044735,-0.9809422,-1.2471731,-0.028997462
03068.png,-1.2499654,-1.3594314,9.341249,2.4963815,-2.0385306,-1.0763803,-3.6481357,0.03319695,-1.0382576,-1.1531549,-1.1371701,-2.8474844
03069.png,-3.0522904,-1.2989689,-1.770471,2.1227472,-1.1420103,0.9775447,-2.9395828,-2.0037098,0.73811007,0.31482375,-1.7681421,8.159131
03070.png,-1.5648644,-1.3454647,-1.5456219,-1.8277359,-0.09517349,-0.5999818,-0.8144225,-2.653874,-0.19887714,0.6226476,5.8630304,-0.59271204
03071.png,-2.149567,8.413865,0.2001969,1.864363,-0.5968571,-0.93364924,-3.63064,-1.2984127,2.40472,-0.70215,-1.167776,-1.4526376
03072.png,-2.232253,-0.7827084,-1.7697185,3.4208405,-1.6016575,-2.1131656,-3.612009,-2.8067439,4.3669715,6.8273773,-0.40022466,-0.23297937
03073.png,-0.70162296,-1.8888646,-1.1219102,4.3554516,-2.469859,1.2355051,-4.5878053,-1.0354754,0.8567774,4.9790435,-0.13112254,-0.4001057
03074.png,-3.8540075,0.31639966,0.35380876,9.20839,-2.4899757,-0.42800504,-4.8823595,-1.132794,2.459249,-0.15533975,-2.11652,-0.11525865
03075.png,-2.141788,7.595343,-0.42542124,0.5670613,0.081365064,-1.5622562,-2.7022932,-1.4602381,2.6690114,-0.73544127,-1.079538,-0.80106825
03076.png,-1.0454941,-2.7052655,8.953896,0.60899854,-1.8573263,-1.4465439,-1.9340585,-0.1657757,-0.32168326,-1.2945573,-1.0518154,-2.342625
03077.png,-2.9873781,-0.3599545,-0.0135731995,9.757672,-3.5013652,0.29084045,-5.017628,-0.85836893,1.3428866,0.17821452,-2.6827142,0.10368766
03078.png,-3.3147452,-1.7765725,-2.7765453,3.6549988,-1.7693948,0.10663312,-3.6429799,-2.0210807,1.5964919,1.4012207,-1.7965623,6.8484335
03079.png,-0.6938844,-2.1766636,-1.7989888,4.806109,-3.2970233,5.0637436,-4.0645394,-0.7310951,-0.3065784,2.8816035,-1.873325,0.5479569
03080.png,9.513591,-2.7262888,-1.5489558,-0.5299275,-2.094374,0.8903844,-1.9369049,0.7977933,0.17462054,-1.3808314,-0.44395897,-1.1234275
03081.png,-1.0781888,-1.6730094,-1.8438944,0.33974224,-0.7139564,-1.0701461,-1.7152,-2.0522583,3.0821104,7.914465,-0.14231722,0.3931481
03082.png,0.53563404,-2.8017616,-0.95597726,-1.3078973,-0.24827734,-1.1889335,10.310296,-0.44646084,0.20642093,-1.6090814,-0.47130325,-1.1950204
03083.png,-2.0785646,-1.2985479,2.409418,4.3048306,-1.1048225,-1.8654424,-4.227815,-1.6807725,3.4195955,1.951801,0.9228583,-1.9177878
03084.png,-3.8344696,4.5981145,0.21183853,2.8995404,-0.16340382,-1.8775195,-3.5466516,-1.8135893,4.865896,-0.06388746,-0.95779747,-0.18438159
03085.png,-3.0634973,0.39716458,4.889611,7.0006776,-2.3216612,0.08864065,-4.994083,-0.08614124,1.2423443,-1.4009843,-2.0871015,-1.261764
03086.png,-0.99407005,-0.6792117,-3.163813,0.3557141,-0.85765654,1.1528324,-0.97471404,-2.3525636,4.5489225,-1.351187,1.1976519,-0.45927635
03087.png,-0.9068178,-2.3012266,-1.5897822,-2.3995118,-0.6600841,-0.09002067,-1.0529013,-3.0620925,0.8027327,9.554129,0.84861207,0.49330458
03088.png,-0.00030446425,-1.6866916,-1.9562137,3.0912445,-3.2112305,8.598092,-3.3613305,-0.6886783,-0.29991013,-2.5353475,-2.7387576,1.2673773
03089.png,-1.5933324,0.0062207114,-0.9008308,8.202464,-2.802431,1.6242265,-5.2346435,-1.2818187,2.0422487,-0.06345311,-1.513591,0.048715103
03090.png,-0.38206995,-2.1457925,9.191795,0.46686524,-1.4101208,-2.0374398,-3.0435925,-0.036351353,-0.7317148,-1.0285883,-0.6591566,-2.6082191
03091.png,0.11119081,-2.5281432,-0.80618405,-3.7472932,-0.20997018,-0.32368502,9.698397,-0.59990686,-0.4832724,-0.6865503,-0.88582873,-1.1464118
03092.png,1.6317961,-1.8623843,-0.35355282,7.2321825,-2.7613785,0.005975127,-5.2583895,2.741766,-0.67229605,-0.3742368,-1.3096802,-1.4267689
03093.png,-0.6058974,-1.2550296,-0.30520082,8.660324,-3.2835832,0.20003882,-4.2302403,-1.0407381,1.616715,2.3177807,-1.2134148,-0.9835747
03094.png,-2.4377928,1.1960474,0.81122106,7.7269807,-2.9040222,-0.08511168,-5.9427953,-0.6736793,1.9008344,0.87792987,-1.7529496,-0.17692278
03095.png,-2.1871743,-2.0274382,-2.5336738,2.5615938,-1.4777944,1.9466683,-3.5219698,-1.6001983,1.6165601,0.08222106,-1.8021948,6.8216023
03096.png,-3.6546655,-0.7418998,1.0946288,7.0393887,-2.611334,-0.32019448,-5.621715,-1.0716227,2.039502,0.48300278,-2.0136936,1.8194159
03097.png,0.504729,-1.8471738,-1.657648,0.13063554,-2.227306,9.818168,-1.8514901,-1.1418468,-0.5652847,-2.4291558,-1.0363102,0.05215438
03098.png,-2.966778,-0.47732073,-0.09954484,9.467674,-3.3161714,-0.17891169,-4.760182,-1.005081,0.7722304,0.855544,-2.2050364,0.82667655
03099.png,-2.268598,-1.2576321,-2.7358181,3.379529,-0.02448607,-1.9395785,-2.6671789,-2.7177997,6.3741918,1.0445349,2.190099,-0.9253686
03100.png,0.75552726,-3.0692983,-1.4108323,-2.2276592,-0.37829676,-0.97722596,10.333673,-0.63043785,0.5150298,-1.5468042,-0.6843653,-1.1224053
03101.png,-2.5778005,-0.042994127,0.40791214,9.536073,-3.6533775,0.7768237,-5.2745957,-0.18048467,1.5400898,-0.7904338,-3.2333872,-0.2668627
03102.png,-1.6251795,0.25148106,-1.3322153,1.7730197,-0.02457927,-0.8300471,-2.3969364,-2.486325,6.9255447,0.3597479,0.20631795,-0.366031
03103.png,-0.10021208,-1.6695474,-1.0677952,5.0872536,-3.497324,7.504642,-3.6870317,0.36859432,-1.3564904,-1.8471036,-2.4463773,0.2629125
03104.png,-0.19110009,-1.819692,-1.680924,-0.116776325,-2.5276568,9.582847,-1.6553061,-1.538956,-0.6844669,-1.9303632,-2.1911204,0.9350809
03105.png,-1.9886491,-1.1428303,-1.2900801,5.623238,-2.6010065,0.9450521,-4.1246085,-0.5125547,0.1733311,2.1111028,-2.1705766,3.238671
03106.png,9.759279,-2.569992,-0.7104405,-0.781117,-2.112676,1.5641006,-1.5761561,0.801906,-0.48684946,-0.46259624,-0.19354138,-1.5468162
03107.png,-2.3086348,-1.5071896,-2.547278,-1.3989564,0.3308226,-0.6805466,-1.542629,-3.0490332,1.8331827,-0.4882368,6.9701157,-0.7493935
03108.png,-3.883975,0.89865035,0.35186803,9.089022,-3.14514,0.027992956,-5.0327344,-1.3966528,0.9621402,0.37017837,-2.6863115,2.4880981
03109.png,-3.2506902,-0.2804515,1.472805,9.162087,-3.2112136,-0.020292401,-4.546114,-0.6662077,1.0207078,-0.66141,-2.5560114,0.048529062
03110.png,-0.8611161,-1.8931067,-1.3438723,-1.0550244,-0.6859361,-0.25409836,-2.0640855,-2.6251206,0.8461516,9.859353,0.5957197,-0.21907194
03111.png,-0.8934097,-1.8037117,-1.4615709,-1.696279,-0.80076927,0.075769335,-1.1608539,-2.3754148,0.87389195,8.890069,0.16223617,0.4848568
03112.png,-3.2237697,-0.28732884,-0.8170301,8.176076,-2.9748263,1.4508986,-5.322501,-1.1588284,2.133374,-0.51460177,-2.7398171,2.0956779
03113.png,0.079901144,-2.8202164,-1.158842,-2.609266,-0.28658608,-0.4914124,10.494986,-0.71400285,-0.38283268,-1.1656966,-0.99186116,-1.1207404
03114.png,-1.1113745,-2.344554,9.911011,1.2569709,-1.922043,-2.250897,-2.6478314,-0.24708258,-0.3452169,-0.89865077,-1.0071697,-2.7336538
03115.png,-0.58628976,-2.2560139,-2.2824123,0.5033969,-0.8871151,-1.5632974,-2.7282183,-2.4546552,2.5292532,9.365797,0.56373715,-0.40801662
03116.png,-4.001777,1.0503234,-1.0037061,7.6964436,-2.85471,0.26152351,-5.1500897,-1.7603728,2.771132,0.6302728,-2.7460604,2.1853342
03117.png,-0.21800153,-1.4731542,-1.6178149,0.79223555,-2.1481721,10.340562,-2.2249603,-1.0632519,-0.5542651,-2.7956724,-2.159561,0.17668787
03118.png,-2.1818407,-0.71525353,-0.62907094,10.658973,-3.2195446,-0.8395233,-4.374141,-0.6571872,1.8431811,0.4077026,-1.9830464,-0.385387
03119.png,-1.7425456,-0.9519058,-1.4408282,7.7882347,-3.0876315,1.9160954,-6.119787,-1.0631799,2.5134902,1.7262263,-1.4551367,-0.20298086
03120.png,-1.7669162,6.8267975,-0.60882366,0.07911038,0.10701828,-0.80160254,-2.7892537,-1.6052722,1.5404912,-0.4863462,0.74728906,-1.1816554
03121.png,0.40439,-2.5093632,-1.1222254,-3.100039,-0.20129538,0.19312826,9.85232,-0.3099982,-0.523168,-1.3781624,-0.99168354,-1.2715564
03122.png,-0.76634204,-2.5419083,-0.94082457,-2.000428,0.13951296,-1.7187824,8.277036,-1.0329573,1.5448095,-0.19110817,0.18981044,-0.6861164
03123.png,-2.705235,-1.6773064,-0.69997567,7.027871,-1.7653499,1.2305309,-4.475828,-1.0445933,2.7164924,-0.6376715,-0.99901396,0.41505706
03124.png,-3.7584667,0.388084,-2.5020936,1.9515992,0.8828661,-2.569665,-3.0810168,-2.5717356,7.304409,0.98564327,-1.0818855,1.7682737
03125.png,0.69156134,-2.542892,-1.2149092,-2.3488472,-0.6495994,-0.53467053,9.910934,-0.5997803,-0.08395979,-1.6762202,-0.35269997,-1.0575945
03126.png,0.18502621,-2.553196,-0.75342005,-3.1182706,-0.3617676,-0.10597686,9.550255,-0.681633,-0.72726524,-0.81086165,-0.70389706,-1.1214726
03127.png,-0.8502376,-1.6981844,9.461571,-0.21115705,-1.8695912,-1.2943122,-2.3178456,-0.90666735,-1.0590551,-0.23044325,-0.51014245,-2.1939938
03128.png,-2.7181644,-0.41369647,-0.8028637,9.76809,-3.3695512,0.5770168,-5.898067,-0.9755074,1.4256954,2.1161554,-2.350092,-0.12228668
03129.png,0.04015105,-2.6953633,-1.1019678,-2.1228793,-0.14982192,-1.161487,10.845365,-0.650184,-0.10299206,-1.7902503,-0.6456631,-1.2754647
03130.png,-1.1887703,-1.5737438,8.996947,2.524097,-1.8452655,-2.0136278,-3.3313878,0.19235669,-0.6711737,-0.9288453,-1.0082815,-2.6937077
03131.png,-2.4341521,-1.4062299,-2.248369,7.740969,-2.4155738,0.8696075,-4.5187964,-1.4760542,3.5362668,0.1576968,-1.4458967,1.4083514
03132.png,9.220783,-3.0473638,-0.94455546,1.1654859,-2.139178,-0.31981114,-1.9021208,1.3231106,0.06309944,-0.902018,-0.23068696,-1.8997569
03133.png,-1.6751766,-1.0040628,-1.3487433,4.3563447,-2.9507039,6.7218723,-3.6881247,-0.18182975,-1.7732451,-1.4003255,-3.0905433,3.475499
03134.png,9.535628,-2.9684439,-0.6813754,1.1735735,-2.1499755,-0.10745298,-2.5714028,1.5921046,-0.018357856,-0.7059041,-0.073337704,-2.0108597
03135.png,-1.3523151,-1.3781897,8.780602,3.3899622,-2.0875227,-1.4589128,-3.589817,-0.13686092,-1.0374684,-1.1150843,-0.9166472,-2.7704213
03136.png,-2.325779,-0.9683661,-1.3361598,1.3524045,-0.9939317,0.78091496,-2.3195777,-1.5415852,-0.8815681,0.62743825,-1.7106637,8.68077
03137.png,-1.2328734,-1.7668904,-1.9086981,-0.23770416,5.202928,-0.52133954,-1.1903872,-0.85644954,2.3742142,-0.17431258,1.7174567,-1.4786543
03138.png,-2.4663827,-0.4045743,7.0652328,1.9256274,-1.1698955,0.08756507,-3.2066607,-0.65925807,1.1612849,-1.1478782,-0.7924656,-2.3365746
03139.png,-2.6338134,-1.8732997,-1.8033614,1.3891821,-1.0044495,0.10646465,-2.2888784,-1.560211,0.56146353,0.9266746,-1.7494439,8.6566105
03140.png,0.078106314,-1.843906,-1.1916414,-0.3475222,-2.44852,9.84645,-1.132075,-1.3528298,-0.70005,-1.850649,-2.1750276,0.48282412
03141.png,7.701253,-2.640563,-1.4995426,-1.9107473,-1.8540071,2.0855176,-1.5748959,-0.35066575,-0.29998493,1.229345,0.21194914,-0.9234342
03142.png,-0.07346077,-2.5097227,-1.091592,-1.154602,-0.09556912,-1.3824329,9.448573,0.0011902023,1.2030091,-0.90105176,-0.6195273,-1.3924431
03143.png,-1.4114681,-0.6352553,0.0845543,5.5784307,-2.732867,1.5481267,-3.359143,-1.1501845,-0.4310236,4.0102043,-1.8242761,0.11566804
03144.png,-0.662729,-2.13803,-1.3384076,-1.7652869,0.070961565,-2.0191066,8.138513,-0.7645409,1.4519428,-1.0302256,-0.40251878,-0.24961607
03145.png,-3.9091249,0.23944373,0.47113925,8.4045725,-2.9948635,0.2341237,-4.947005,-1.4911555,1.4833964,0.8206361,-2.2409353,0.6662762
03146.png,-2.5293088,-0.31137443,0.63375926,10.9626875,-3.6342652,-0.7027744,-3.9419026,-0.96900487,1.3353258,0.17946178,-2.473534,-0.9675954
03147.png,-0.9910747,-1.4312996,-1.3276682,6.9225993,-2.5957289,0.5104368,-4.885493,-1.1045989,2.4983702,1.321159,0.5082241,-0.9678599
03148.png,0.053054918,-1.5708531,-1.8758668,1.0616311,-2.3462355,10.148505,-2.0896664,-0.87231493,-0.93184054,-2.846453,-2.0599399,0.41460416
03149.png,-3.2286944,7.224029,-1.4824603,0.8866577,0.009708213,-1.7779862,-3.269398,-2.4427974,4.464253,0.6454614,-0.1513396,-0.68746006
03150.png,-1.5757322,-1.0396869,8.78251,2.2047412,-1.7523203,-2.326957,-3.6518517,-0.50077236,0.10659717,-0.6266911,-0.8338404,-2.8003857
03151.png,-0.16459794,-2.4518816,-1.1121544,-2.7522037,-0.089740396,-0.71933657,10.105802,-0.5860263,-0.26741716,-1.0357356,-0.9491046,-1.2813107
03152.png,-0.042444807,-1.7028062,-1.3917757,-0.2110089,-2.6361158,9.826202,-1.7483732,-1.1174679,-1.1283607,-1.6659242,-1.8881932,0.6459537
03153.png,-0.40433335,-0.99111253,-1.0226831,9.126754,-2.4701324,-0.781439,-3.5933537,-0.31023842,1.513354,-0.1127643,-1.3273002,-1.3377368
03154.png,-2.637822,-1.3439918,-1.3374301,1.361978,-0.6938034,0.6470615,-2.5731235,-1.4641197,-0.21750061,0.8191545,-1.7334024,8.575738
03155.png,-3.549608,0.2973832,-0.34529972,9.915682,-3.7709038,1.1793301,-5.3705087,-1.3101449,1.269983,0.26317024,-2.8500695,1.408295
03156.png,-2.4180381,6.936008,-0.15814282,3.7378259,-1.7584482,0.31042698,-3.7606475,-0.1093608,0.7869757,-1.4199555,-1.9701867,-0.41708732
03157.png,-0.32117426,-2.6497402,-1.2804012,-1.7620716,-0.18512823,-1.1122522,10.328197,-0.35627887,0.71323746,-1.4357233,-0.85821855,-1.2772392
03158.png,-1.3737615,-1.0288752,7.71705,1.9928811,-1.6092103,-1.181721,-2.3597698,-0.3856132,1.0251215,-1.2049385,-0.7779809,-2.680746
03159.png,-0.18548569,-1.1213549,6.918276,-0.35928896,-1.1963221,-0.4578139,-2.0199912,-0.7612505,-0.7405538,-0.16302812,-0.39266226,-1.4497143
03160.png,-0.31769496,-2.460294,-1.2946578,-2.2355783,-0.19813506,-0.8635089,10.357929,-0.49862525,0.47048476,-2.0420659,-0.9504058,-1.2778285
03161.png,-2.974617,0.41680253,-1.1847757,8.324931,-3.0874274,1.421719,-5.225188,-1.3738096,2.4941351,0.064125955,-3.0504868,2.1608014
03162.png,-1.048233,-1.9423944,8.297251,-0.5751852,-0.82888746,-2.1282065,-2.7742598,0.075621635,0.084403284,-0.0033301972,-0.5437122,-1.6331682
03163.png,0.52861625,-2.4036946,-1.5117003,-3.1677234,0.43790975,-0.13037282,9.142833,-0.9301635,-0.10798249,-0.24633217,-0.93882537,-0.9262547
03164.png,-1.567392,-1.7848178,-2.3594756,0.27895385,-0.70567364,-1.0337335,-3.00697,-2.6766384,2.5076044,8.979294,-0.13816991,0.31618765
03165.png,-0.2567108,-1.6253186,-0.76888835,0.83603424,-2.7083447,9.568659,-1.1507171,-1.0800744,-1.2763976,-1.7194935,-1.9907719,0.3155883
03166.png,-2.0066068,-1.2276667,-0.87405425,1.1954594,-1.1149776,0.84138125,-2.2957664,-1.0951877,-0.6520811,0.9196693,-1.7297806,7.8037424
